"","Approach.to.ICT","Use.of.ICT","Teachers..degree","Teacher.skill","ESCS","RATCMP1","ICTSCH","ICTRES","ENTUSE","LM_MINS","HEDRES","STUBEHA","ATTLNACT","JOYREAD","PROAT6","TEACHBEHA","STRATIO","CLSIZE","EDUSHORT","STAFFSHORT","PV1MATH","PV1READ","CREACTIV","CNT","Social.well.being","Psychological.well.being","IM_PUBLIC","NEW_VAR"
"1707",0.147602451094118,-0.945754757451753,-1.19806891724882,1.91152658205068,1.0299039489737,-0.888231187060823,0.903428749098783,0.42292148345008,-1.61251424573117,0.306175852159904,0.202533996278228,-1.60391737068754,0.427481554449645,1.09891402940703,-0.666732731609091,-2.18198754105574,0.446703739616165,-0.166987077113746,-1.66625224520154,-1.93154557066434,-0.0525230455403273,0.454884442319235,1.418654450136,"GRC",-0.0192080968927552,-0.0561064476017922,"0","GRC-0"
"1708",-0.985086681261783,0.46745201482956,-1.32739600451108,-0.568883073496385,0.0873902266657568,-0.693748597333597,-0.272214028856317,-0.111886643150799,2.61702449345464,-0.549227961722621,0.0780554777412903,-1.58071393315262,-1.06507155597743,0.535455810184524,-0.666732731609091,-1.28293154556081,-0.561276136518406,-0.166987077113746,-0.0286943065020182,-0.342732298188034,-1.05301883501589,-0.630369015999213,-0.530468576680621,"GRC",0.380748230356762,0.423459055415491,"1","GRC-1"
"1709",0.180658990958961,0.0803694328812576,-0.460629355838487,-0.121059453008714,-0.200173441847548,-0.582586868143035,0.979254779175291,-1.12179479042346,0.561929892076554,-0.844674608313963,-0.91397911575751,-0.750693824760669,-0.801282082317691,0.707612650622156,0.868870479690455,-0.460015645549248,0.0806284435904972,-0.166987077113746,-0.392117630262838,-0.891076186068811,-0.37201526039483,-0.0359610391313804,-1.50503009008893,"GRC",0.873737364425557,0.178161743993481,"1","GRC-1"
"1710",0.492912860824891,-1.94915050635313,-1.29176226451009,-0.308187433290076,-0.0991313704586598,-1.27316145801471,0.226713476777502,-1.07907985766167,0.607330602626943,-0.535489248618059,-0.186681830675323,2.29160831374626,-0.753291973146645,0.543116895053795,-0.666732731609091,3.28000370737265,-0.452497980924352,-0.166987077113746,2.5064417345428,2.19696570883872,-0.295097616203903,-0.119596503886677,-0.530468576680621,"GRC",0.930467691309074,-0.102910746791158,"1","GRC-1"
"1711",-0.981419938971955,0.676310955554112,-0.816003681794249,0.787608973473913,-1.32962376714725,-1.02340062182975,1.01573804462172,-0.595549841424642,-0.783650368596453,-0.424046185618191,-1.36957888274119,-0.366953164956987,-0.149791924033048,0.585957174158538,-0.666732731609091,0.34950317021304,0.11696540971432,-0.166987077113746,-0.212020704714304,0.320945121187916,-1.33610565711883,-0.913474385288351,1.418654450136,"GRC",-0.621107233007247,0.161415177145956,"1","GRC-1"
"1712",0.502073855757361,-0.0984028381338439,-1.16284792327101,-2.60837924039266,0.0836296174321263,-1.00201560677675,-0.837969277455056,-0.896671366831921,0.48344505171646,-0.486167054659005,0.072986425958159,0.904042749158116,-1.48057727553016,1.60306539385195,0.426071771811103,0.447636812338961,-0.856277606891152,-0.166987077113746,1.20690193464925,0.230073027070323,-0.776936848659015,-0.293137313075437,-1.50503009008893,"GRC",-1.03961884864439,-1.23555547264078,"1","GRC-1"
"1713",-0.444790409667573,-1.54691892740813,-0.792477158473135,-0.625900979838337,0.153003874899062,-1.43334732548714,-0.705329551757563,-0.508822720295723,-1.12052770724756,-0.710702590277713,-0.464997018013897,2.189734173712,-1.05477463834546,0.123077347472524,0.403864992130303,1.91618053079671,0.079173801231657,-0.166987077113746,-0.24259304593115,-0.342732298188034,-0.811181076528945,0.0165039525334873,0.444092936727691,"GRC",-0.723058422864228,-0.960815504907882,"1","GRC-1"
"1715",-0.379849095221734,-0.193189930190696,-1.2769034076757,-0.406744989659221,-0.798885318194478,-1.4123658012842,-0.28571399711174,-0.927006243277199,1.72973048237693,-0.619847923424081,-0.763599652444348,-0.681746467514053,-0.953769266719151,0.405438121549365,0.221703137405249,1.12977168536442,0.430528116585864,0.673998534087118,1.20690193464925,2.6322290923512,-0.746370773109558,-0.393285339428675,1.418654450136,"GRC",-0.961107378542345,-0.916249931057815,"1","GRC-1"
"1716",0.247979127910419,-0.732090534139618,-0.97546122874846,-0.50456201093039,1.00924832881975,-1.37927955157957,-0.0603888690591498,-0.315580929369483,2.06019249483919,-0.276059845487629,0.04222860211471,-2.28609843421416,-0.744752635532777,0.343540333598732,-0.260833916053019,-2.18198754105574,-2.1836678521798,-0.166987077113746,1.20690193464925,-0.627793873241688,0.0615962062503675,0.0869647929808983,0.444092936727691,"GRC",0.298443529802754,-0.263219196837677,"1","GRC-1"
"1717",0.428373875483509,-1.2614753448899,-0.963834622781615,-0.30740705648954,0.295491257031235,-1.3738324251038,-1.01461077938355,-0.825053509798595,1.18290726278857,-0.939135580370739,-0.0383896865786169,0.947245339996941,-1.26436178872931,-0.0793432463582758,1.19529260408869,0.780889283039613,-0.125087078796652,-0.166987077113746,0.970612184751445,0.608581584386578,-0.145997396422282,0.33054057016519,-1.50503009008893,"GRC",0.474045346693907,-1.37508911368695,"1","GRC-1"
